page	field	type	tooltip
0	form1[0]	None	
0	form1[0].#pageSet[0]	None	
0	form1[0].#pageSet[0].Page1[0]	None	
0	form1[0].#pageSet[0].Page1[10]	None	
0	form1[0].#pageSet[0].Page1[11]	None	
0	form1[0].#pageSet[0].Page1[12]	None	
0	form1[0].#pageSet[0].Page1[13]	None	
0	form1[0].#pageSet[0].Page1[1]	None	
0	form1[0].#pageSet[0].Page1[2]	None	
0	form1[0].#pageSet[0].Page1[3]	None	
0	form1[0].#pageSet[0].Page1[4]	None	
0	form1[0].#pageSet[0].Page1[5]	None	
0	form1[0].#pageSet[0].Page1[6]	None	
0	form1[0].#pageSet[0].Page1[7]	None	
0	form1[0].#pageSet[0].Page1[8]	None	
0	form1[0].#pageSet[0].Page1[9]	None	
0	form1[0].#subform[0]	None	
0	form1[0].#subform[0].#area[0]	None	
0	form1[0].#subform[10]	None	
0	form1[0].#subform[10].#area[11]	None	
0	form1[0].#subform[11]	None	
0	form1[0].#subform[11].#area[12]	None	
0	form1[0].#subform[12]	None	
0	form1[0].#subform[12].#area[13]	None	
0	form1[0].#subform[13]	None	
0	form1[0].#subform[13].#area[14]	None	
0	form1[0].#subform[1]	None	
0	form1[0].#subform[1].#area[1]	None	
0	form1[0].#subform[1].Line12\	None	
0	form1[0].#subform[2]	None	
0	form1[0].#subform[2].#area[2]	None	
0	form1[0].#subform[3]	None	
0	form1[0].#subform[3].#area[3]	None	
0	form1[0].#subform[4]	None	
0	form1[0].#subform[4].#area[4]	None	
0	form1[0].#subform[4].#area[5]	None	
0	form1[0].#subform[5]	None	
0	form1[0].#subform[5].#area[6]	None	
0	form1[0].#subform[6]	None	
0	form1[0].#subform[6].#area[7]	None	
0	form1[0].#subform[6].P9_Line7\	None	
0	form1[0].#subform[6].P9_Line7\.b\	None	
0	form1[0].#subform[7]	None	
0	form1[0].#subform[7].#area[8]	None	
0	form1[0].#subform[8]	None	
0	form1[0].#subform[8].#area[9]	None	
0	form1[0].#subform[9]	None	
0	form1[0].#subform[9].#area[10]	None	
1	form1[0].#pageSet[0].Page1[0].PDF417BarCode1[0]	/Tx	PDF417BarCode1
1	form1[0].#subform[0].#area[0].Line1_AlienNumber[0]	/Tx	Part 1.  Information About Your Eligibility.  Enter Your 9 D
1	form1[0].#subform[0].DropDownList1[0]	/Ch	Part 1.  Information About Your Eligibility (Select only one
1	form1[0].#subform[0].Line2_FamilyName1[0]	/Tx	Part 2. Information About You (Person applying for naturaliz
1	form1[0].#subform[0].Line2_FamilyName2[0]	/Tx	Part 2. Information About You (Person applying for naturaliz
1	form1[0].#subform[0].Line3_GivenName1[0]	/Tx	Part 2. Information About You (Person applying for naturaliz
1	form1[0].#subform[0].Line3_GivenName2[0]	/Tx	Part 2. Information About You (Person applying for naturaliz
1	form1[0].#subform[0].Line3_MiddleName1[0]	/Tx	Part 2. Information About You (Person applying for naturaliz
1	form1[0].#subform[0].Line3_MiddleName2[0]	/Tx	Part 2. Information About You (Person applying for naturaliz
1	form1[0].#subform[0].P2_Line1_FamilyName[0]	/Tx	Part 2. Information About You (Person applying for naturaliz
1	form1[0].#subform[0].P2_Line1_GivenName[0]	/Tx	Part 2. Information About You (Person applying for naturaliz
1	form1[0].#subform[0].P2_Line1_MiddleName[0]	/Tx	Part 2. Information About You (Person applying for naturaliz
1	form1[0].#subform[0].Part1Line5_OtherExplain[0]	/Tx	Part 1.  Information About Your Eligibility (Select only one
1	form1[0].#subform[0].Part1_Eligibility[0]	/Btn	Part 1.  Information About Your Eligibility (Select only one
1	form1[0].#subform[0].Part1_Eligibility[1]	/Btn	Part 1.  Information About Your Eligibility (Select only one
1	form1[0].#subform[0].Part1_Eligibility[2]	/Btn	Part 1.  Information About Your Eligibility (Select only one
1	form1[0].#subform[0].Part1_Eligibility[3]	/Btn	Part 1.  Information About Your Eligibility (Select only one
1	form1[0].#subform[0].Part1_Eligibility[4]	/Btn	Part 1.  Information About Your Eligibility (Select only one
1	form1[0].#subform[0].Part1_Eligibility[5]	/Btn	Part 1.  Information About Your Eligibility (Select only one
1	form1[0].#subform[0].Part1_Eligibility[6]	/Btn	Part 1.  Information About Your Eligibility (Select only one
2	form1[0].#pageSet[0].Page1[1].PDF417BarCode1[0]	/Tx	PDF417BarCode1
2	form1[0].#subform[1].#area[1].Line1_AlienNumber[1]	/Tx	Part 1.  Information About Your Eligibility.  Enter Your 9 D
2	form1[0].#subform[1].Line12\.c_Checkbox[0]	/Btn	 Part 2.  Information About You (Person applying for natural
2	form1[0].#subform[1].Line12\.c_Checkbox[1]	/Btn	 Part 2.  Information About You (Person applying for natural
2	form1[0].#subform[1].Line12a_Checkbox[0]	/Btn	Part 2.  Information About You (Person applying for naturali
2	form1[0].#subform[1].Line12a_Checkbox[1]	/Btn	Part 2.  Information About You (Person applying for naturali
2	form1[0].#subform[1].Line12b_SSN[0]	/Tx	Part 2.  Information About You (Person applying for naturali
2	form1[0].#subform[1].P2_Line10_CountryOfBirth[0]	/Tx	Part 2.  Information About You (Person applying for naturali
2	form1[0].#subform[1].P2_Line10_claimdisability[0]	/Btn	Part 2.  Information About You (Person applying for naturali
2	form1[0].#subform[1].P2_Line10_claimdisability[1]	/Btn	Part 2.  Information About You (Person applying for naturali
